#nombre, largo, tripulacion, pasajeros

"Halcón Milenario", 34.37, 4, 6
"Estrella de la Muerte", 120000, 342953, 843342
"AT-AT", 20, 5, 40
"AT-ST", 2, 2, 0
"AT-TE", 5, 5, 0
"AT-PT", 4, 4, 0
"AT-AT Walker", 20, 5, 40
"AT-ST Walker", 2, 2, 0
"AT-TE Walker", 5, 5, 0
"AT-PT Walker", 4, 4, 0
"AT-AT Walker", 20, 5, 40
"AT-ST Walker", 2, 2, 0
"AT-TE Walker", 5, 5, 0
"AT-PT Walker", 4, 4, 0
"X-Wing", 12.5, 1, 0
"Y-Wing", 14, 1, 0
"A-Wing", 9.6, 1, 0
"B-Wing", 16.9, 1, 0
"TIE Fighter", 9.6, 1, 0
"TIE Interceptor", 5.47, 1, 0
"TIE Bomber", 7.92, 1, 0
"TIE Advanced x1", 9.2, 1, 0
"TIE Defender", 7.92, 1, 0
"TIE Phantom", 9.6, 1, 0
"TIE Reaper", 9.6, 1, 0
"TIE Silencer", 9.6, 1, 0
"TIE Striker", 9.6, 1, 0
"TIE Punisher", 9.6, 1, 0
"TIE Inquisitor", 9.6, 1, 0
"CR90 corvette", 150, 30, 600
"Naboo Royal Starship", 76, 8, 300
"J-type diplomatic barge", 39, 5, 10
"AA-9 Coruscant freighter", 390, 165, 3000
"Jedi Interceptor", 5.47, 1, 0
"arc-170", 14.5, 1, 0
"Belbullab-22 starfighter", 6.8, 1, 0
"V-wing", 7.9, 1, 0
"Banking clan frigte", 27, 5, 0
"Republic Cruiser", 115, 20, 500
"Droid control ship", 317, 175, 2000